id,name,type,category,tag,pp,power,accuracy,priority,effect,effectChance,effectTarget,group,sprite,target,count,rotate
58,Voltbeam,Volt,Special,-,15,90,1,0,,0,foe,VOLT-A,yellow_explosion,Enemy,2.0,N
59,Arc Surge,Volt,Special,-,10,100,0.85,0,paralyze,30,foe,VOLT-A,yellow_blast,Projectile,2.0,N
60,Thunderclap,Volt,Special,-,5,120,0.75,-1,paralyze,20,foe,VOLT-A,yellow_explosion,Enemy,2.0,N
61,Overload,Volt,Status,-,15,,1,0,paralyze,100,foe,VOLT-B,lightning_bolt,Enemy,1.0,Y
62,Charge Crash,Volt,Physical,-,15,85,0.9,0,,0,foe,VOLT-B,yellow_blast,Projectile,2.0,N
63,Lightning Dash,Volt,Physical,-,20,65,1,1,,0,foe,VOLT-B,yellow_blast,Projectile,2.0,N
64,Plasma Burst,Volt,Special,-,5,110,0.8,0,,0,foe,VOLT-B,yellow_blast,Projectile,2.0,N
65,Dynamo Stance,Volt,Status,-,20,,,0,spAtk_up,100,self,VOLT-B,yellow_explosion,Enemy,2.0,N
66,Conductor Claw,Volt,Physical,-,15,75,0.95,0,paralyze,30,foe,VOLT-C,yellow_blast,Projectile,2.0,N
67,Shock Grid,Volt,Status,-,20,,1,0,paralyze,100,foe,VOLT-C,yellow_explosion,Enemy,2.0,N
68,Galvanic Slam,Volt,Physical,-,10,95,0.9,0,,0,foe,VOLT-C,lightning_bolt,Enemy,1.0,Y
69,Zap Cannon,Volt,Special,-,5,120,0.7,-1,paralyze,100,foe,VOLT-C,yellow_explosion,Enemy,2.0,N
70,Spark Burst,Volt,Special,-,25,50,1,0,,0,foe,VOLT-C,yellow_blast,Projectile,2.0,N
71,Vine Lash,Flora,Physical,-,25,50,1,0,,0,foe,FLORA-A,nut_ball,Projectile,2.0,Y
72,Thorn Volley,Flora,Physical,-,20,60,0.95,0,poison,25,foe,FLORA-A,nut_ball,Projectile,2.0,Y
73,Leaf Blade,Flora,Physical,-,15,90,1,0,,0,foe,FLORA-A,nut_ball,Projectile,2.0,Y
74,Spore Burst,Flora,Status,-,15,,0.95,0,poison,100,foe,FLORA-A,leaf,Projectile,3.0,N
75,Overgrow Slam,Flora,Physical,-,10,100,0.85,0,,0,foe,FLORA-A,leaf,Projectile,3.0,N
76,Pollen Guard,Flora,Status,-,20,,,0,def_up,100,self,FLORA-B,nut_ball,Projectile,2.0,Y
77,Seed Bomb,Flora,Physical,-,15,80,1,0,,0,foe,FLORA-B,green_slash,Enemy,4.0,Y
78,Flora Pulse,Flora,Special,-,10,95,0.9,0,poison,30,foe,FLORA-B,leaf,Projectile,3.0,N
79,Briar Tangle,Flora,Physical,-,15,65,0.95,0,,0,foe,FLORA-B,green_slash,Enemy,4.0,Y
80,Verdant Torrent,Flora,Special,-,5,130,0.7,-1,,0,foe,FLORA-B,leaf,Projectile,3.0,N
81,Nettle Sting,Flora,Special,-,25,45,1,0,poison,30,foe,FLORA-C,green_health,Self,4.0,N
82,Root Bind,Flora,Status,-,10,,0.9,0,poison,100,foe,FLORA-C,green_health,Self,4.0,N
83,Bloom Burst,Flora,Special,-,5,110,0.8,0,,0,foe,FLORA-C,nut_ball,Projectile,2.0,Y
84,Chloro Slash,Flora,Physical,-,15,70,1,0,,0,foe,FLORA-C,leaf,Projectile,3.0,N
85,Photosynthesis,Flora,Status,-,10,,,0,heal50,100,self,FLORA-C,nut_ball,Projectile,2.0,Y
86,Web Snare,Flora,Status,-,20,,1,0,poison,100,foe,FLORA-D,nut_ball,Projectile,2.0,Y
87,Petal Hurricane,Flora,Special,-,10,100,0.85,0,,0,foe,FLORA-D,green_health,Self,4.0,N
88,Larva Barrage,Flora,Physical,-,20,55,0.95,0,poison,35,foe,FLORA-D,green_slash,Enemy,4.0,Y
89,Canopy Crush,Flora,Physical,-,10,85,0.9,0,,0,foe,FLORA-D,leaf,Projectile,3.0,N
90,Spore Cloud,Flora,Status,-,20,,,0,atk_up,100,self,FLORA-D,leaf,Projectile,3.0,N
91,Gravel Pelt,Terra,Physical,-,25,45,1,0,,0,foe,TERRA-A,rock_blast,Projectile,2.0,N
92,Mudshot,Terra,Special,-,25,55,0.95,0,trapped,25,foe,TERRA-A,meteor,Enemy,1.0,N
93,Rockslide,Terra,Physical,-,15,80,0.9,0,,0,foe,TERRA-A,rock_blast,Projectile,2.0,N
94,Terra Fissure,Terra,Physical,-,10,100,0.85,0,trapped,30,foe,TERRA-A,rock,Projectile,1.0,Y
95,Tectonic Slam,Terra,Physical,-,5,130,0.7,-1,,0,foe,TERRA-A,rock_blast,Projectile,2.0,N
96,Sinkhole,Terra,Status,-,15,,0.9,0,trapped,100,foe,TERRA-B,rock,Projectile,1.0,Y
97,Boulder Barrage,Terra,Physical,-,10,90,0.85,0,,0,foe,TERRA-B,meteor,Enemy,1.0,N
98,Sandstorm Surge,Terra,Special,-,20,65,0.9,0,trapped,35,foe,TERRA-B,rock,Projectile,1.0,Y
99,Quake Stomp,Terra,Physical,-,15,80,1,0,,0,foe,TERRA-B,rock,Projectile,1.0,Y
100,Stone Bastion,Terra,Status,-,20,,,0,def_up2,100,self,TERRA-B,rock_blast,Projectile,2.0,N
101,Pebble Rain,Terra,Special,-,25,50,1,0,,0,foe,TERRA-C,rock_slam,Enemy,1.0,N
102,Clay Mold,Terra,Status,-,15,,0.95,0,trapped,100,foe,TERRA-C,rock_slam,Enemy,1.0,N
103,Sediment Wave,Terra,Special,-,10,80,0.85,0,,0,foe,TERRA-C,rock_blast,Projectile,2.0,N
104,Cavern Crash,Terra,Physical,-,10,95,0.85,0,,0,foe,TERRA-C,rock,Projectile,1.0,Y
105,Geo Break,Terra,Physical,-,15,75,0.95,0,def_down,30,foe,TERRA-C,meteor,Enemy,1.0,N
106,Earth Veil,Terra,Status,-,15,,,0,def_up,100,self,TERRA-D,rock,Projectile,1.0,Y
107,Stonewall Smash,Terra,Physical,-,10,100,0.85,0,,0,foe,TERRA-D,rock_blast,Projectile,2.0,N
108,Magma Crust,Terra,Special,-,5,120,0.75,-1,,0,foe,TERRA-D,meteor,Enemy,1.0,N
109,Mineral Burst,Terra,Special,-,15,70,0.9,0,trapped,35,foe,TERRA-D,rock_slam,Enemy,1.0,N
110,Stone Edge,Terra,Physical,-,10,100,0.8,0,,0,foe,TERRA-D,rock,Projectile,1.0,Y
111,Shadow Lunge,Dark,Physical,-,25,50,1,0,,0,foe,DARK-A,purple_smoke,Enemy,2.0,N
112,Obsidian Fang,Dark,Physical,-,20,60,1,0,curse,25,foe,DARK-A,purple_fire,Enemy,1.0,N
113,Nightfall Pulse,Dark,Special,-,15,90,1,0,,0,foe,DARK-A,purple_orb,Projectile,1.0,Y
114,Umbra Slash,Dark,Physical,-,15,85,0.95,0,,0,foe,DARK-A,purple_orb,Projectile,1.0,Y
115,Eclipse Bolt,Dark,Special,-,5,120,0.75,-1,,0,foe,DARK-A,purple_smoke,Enemy,2.0,N
116,Curse Mark,Dark,Status,-,15,,1,0,curse,100,foe,DARK-B,purple_smoke,Enemy,2.0,N
117,Void Strike,Dark,Physical,-,10,100,0.85,0,curse,30,foe,DARK-B,purple_orb,Projectile,1.0,Y
118,Gloom Blast,Dark,Special,-,10,95,0.9,0,,0,foe,DARK-B,purple_orb,Projectile,1.0,Y
119,Shade Siphon,Dark,Special,-,20,65,1,0,,0,foe,DARK-B,purple_smoke,Enemy,2.0,N
120,Shadowstep,Dark,Status,-,20,,,0,spd_up2,100,self,DARK-B,purple_blast,Projectile,1.0,N
121,Dread Aura,Dark,Status,-,15,,1,0,curse,100,foe,DARK-C,purple_smoke,Enemy,2.0,N
122,Nightmare Claw,Dark,Physical,-,15,75,0.95,0,curse,35,foe,DARK-C,purple_blast,Projectile,1.0,N
123,Abyssal Gaze,Dark,Status,-,20,,,0,atk_up2,100,self,DARK-C,purple_fire,Enemy,1.0,N
124,Hex Blast,Dark,Special,-,5,110,0.8,0,,0,foe,DARK-C,purple_smoke,Enemy,2.0,N
125,Dark Pulse,Dark,Special,-,25,55,1,0,,0,foe,DARK-C,purple_orb,Projectile,1.0,Y
126,Glimmer Touch,Fae,Special,-,25,45,1,0,,0,foe,FAE-A,pink_flame,Enemy,1.0,N
127,Gossamer Strike,Fae,Physical,-,20,60,0.95,0,sleep,20,foe,FAE-A,pink_blast,Projectile,1.0,N
128,Pixie Blast,Fae,Special,-,15,90,1,0,,0,foe,FAE-A,pink_blast,Projectile,1.0,N
129,Enchant Wave,Fae,Status,-,15,,1,0,sleep,100,foe,FAE-A,pink_blast,Projectile,1.0,N
130,Moonveil Pulse,Fae,Special,-,10,100,0.85,0,,0,foe,FAE-A,pink_petals,Projectile,2.0,Y
131,Dreamweave,Fae,Status,-,15,,1,0,sleep,100,foe,FAE-B,pink_petals,Projectile,2.0,Y
132,Blossom Charm,Fae,Status,-,20,,,0,atk_down,100,foe,FAE-B,fairy_blast,Projectile,3.0,N
133,Wisp Slash,Fae,Physical,-,15,70,1,1,,0,foe,FAE-B,pink_sparkle,Self,1.0,Y
134,Stardust Surge,Fae,Special,-,5,110,0.8,0,,0,foe,FAE-B,pink_sparkle,Self,1.0,Y
135,Faerie Ring,Fae,Status,-,15,,,0,spAtk_up2,100,self,FAE-B,pink_sparkle,Self,1.0,Y
136,Lullaby Dust,Fae,Status,-,20,,0.9,0,sleep,100,foe,FAE-C,pink_flame,Enemy,1.0,N
137,Starfall,Fae,Special,-,5,125,0.7,-1,,0,foe,FAE-C,pink_petals,Projectile,2.0,Y
138,Charm Aura,Fae,Status,-,20,,,0,def_up,100,self,FAE-C,fairy_blast,Projectile,3.0,N
139,Mirage Slash,Fae,Physical,-,15,80,0.9,0,sleep,25,foe,FAE-C,pink_blast,Projectile,1.0,N
140,Petal Barrage,Fae,Special,-,25,55,1,0,,0,foe,FAE-C,pink_petals,Projectile,2.0,Y
141,Knuckle Down,Primal,Physical,-,25,50,1,0,,0,foe,PRIMAL-A,punch,Enemy,1.0,N
142,Gut Charge,Primal,Physical,-,20,65,1,0,frenzy,25,self,PRIMAL-A,green_health,Self,4.0,N
143,Instinct Slash,Primal,Physical,-,15,80,0.95,0,,0,foe,PRIMAL-A,punch,Enemy,1.0,N
144,Wild Haymaker,Primal,Physical,-,10,100,0.8,0,,0,foe,PRIMAL-A,slash,Enemy,2.0,N
145,Apex Strike,Primal,Physical,-,5,130,0.75,-1,,0,foe,PRIMAL-A,jaws,Enemy,1.0,N
146,Primal Roar,Primal,Status,-,20,,,0,atk_up2,100,self,PRIMAL-B,punch,Enemy,1.0,N
147,Iron Will Strike,Primal,Physical,-,15,75,1,0,,0,foe,PRIMAL-B,slash,Enemy,2.0,N
148,Berserk Rush,Primal,Physical,-,5,120,0.85,0,frenzy,100,self,PRIMAL-B,jaws,Enemy,1.0,N
149,Ground Pound,Primal,Physical,-,20,60,1,0,,0,foe,PRIMAL-B,green_health,Self,4.0,N
150,Savage Aura,Primal,Status,-,15,,,0,frenzy,100,self,PRIMAL-B,jaws,Enemy,1.0,N
151,Headbutt Charge,Primal,Physical,-,15,70,1,0,,0,foe,PRIMAL-C,jaws,Enemy,1.0,N
152,Savagery,Primal,Status,-,15,,,0,atk_up,100,self,PRIMAL-C,jaws,Enemy,1.0,N
153,Feral Bite,Primal,Physical,-,20,55,0.95,0,frenzy,30,self,PRIMAL-C,punch,Enemy,1.0,N
154,Concussive Blow,Primal,Physical,-,10,85,0.9,0,,0,foe,PRIMAL-C,jaws,Enemy,1.0,N
155,Rough Tumble,Primal,Physical,-,25,45,0.95,0,,0,foe,PRIMAL-C,punch,Enemy,1.0,N
156,Primal Surge,Primal,Special,-,10,90,0.9,0,,0,foe,PRIMAL-D,slash,Enemy,2.0,N
157,Body Press Crush,Primal,Physical,-,10,100,1,0,,0,foe,PRIMAL-D,green_health,Self,4.0,N
158,Bone Rattler,Primal,Physical,-,15,75,0.85,0,def_down,35,foe,PRIMAL-D,slash,Enemy,2.0,N
159,Primal Howl,Primal,Status,-,20,,,0,def_down,100,foe,PRIMAL-D,green_health,Self,4.0,N
160,Endure Break,Primal,Physical,-,10,95,0.9,0,frenzy,35,self,PRIMAL-D,green_health,Self,4.0,N
161,Quick Strike,Flex,Physical,-,30,40,1,1,,0,foe,FLEX-A,slash,Enemy,1.0,N
162,Focus Strike,Flex,Physical,-,20,60,1,0,,0,foe,FLEX-A,slash,Enemy,1.0,N
163,Power Surge,Flex,Special,-,15,80,1,0,,0,foe,FLEX-A,punch,Enemy,1.0,N
164,Rally,Flex,Status,-,20,,,0,atk_up,100,self,FLEX-A,green_health,Self,4.0,N
165,Mega Blast,Flex,Special,-,5,120,0.8,-1,,0,foe,FLEX-A,punch,Enemy,1.0,N
166,Gale Dive,Flex,Physical,Avian,20,65,1,1,,0,foe,AVIAN-A,,,,
167,Talon Strike,Flex,Physical,Avian,15,80,0.95,0,,0,foe,AVIAN-A,,,,
168,Featherstorm,Flex,Special,Avian,10,90,0.85,0,,0,foe,AVIAN-A,,,,
169,Soaring Peck,Flex,Physical,Avian,25,50,1,0,,0,foe,AVIAN-A,,,,
170,Pounce,Flex,Physical,Feline,20,65,1,1,,0,foe,FELINE-A,,,,
171,Claw Flurry,Flex,Physical,Feline,15,80,0.95,0,,0,foe,FELINE-A,,,,
172,Hiss Aura,Flex,Status,Feline,20,,,0,atk_up,100,self,FELINE-A,,,,
173,Night Prowl,Flex,Physical,Feline,15,70,1,0,,0,foe,FELINE-A,,,,
174,Pulp Burst,Flex,Special,Harvest,20,55,1,0,,0,foe,HARVEST-A,,,,
175,Juicy Splash,Flex,Special,Harvest,15,70,0.95,0,,0,foe,HARVEST-A,,,,
176,Pit Hurl,Flex,Physical,Harvest,20,65,1,0,,0,foe,HARVEST-A,,,,
177,Petal Shower,Flex,Special,Floral,25,40,1,0,,0,foe,FLORAL-A,,,,
178,Bloom Aura,Flex,Status,Floral,20,,,0,def_up,100,self,FLORAL-A,,,,
179,Nectar Pulse,Flex,Special,Floral,15,70,0.95,0,,0,foe,FLORAL-A,,,,
180,Stamen Sting,Flex,Physical,Floral,20,60,1,0,,0,foe,FLORAL-A,,,,
181,Maul,Flex,Physical,Ursine,15,90,0.85,0,,0,foe,URSINE-A,,,,
182,Bear Hug,Flex,Physical,Ursine,10,80,1,0,,0,foe,URSINE-A,,,,
183,Hibernation Wake,Flex,Status,Ursine,10,,,0,atk_up2,100,self,URSINE-A,,,,
184,Cub Swipe,Flex,Physical,Ursine,20,60,1,0,,0,foe,URSINE-A,,,,
185,Shell Bash,Flex,Physical,Carapace,15,80,1,0,,0,foe,CARAPACE-A,,,,
186,Withdraw Guard,Flex,Status,Carapace,20,,,0,def_up2,100,self,CARAPACE-A,,,,
187,Spiral Slam,Flex,Physical,Carapace,10,90,0.85,0,,0,foe,CARAPACE-A,,,,
188,Spine Volley,Flex,Physical,Cactoid,20,55,0.95,0,,0,foe,CACTOID-A,,,,
189,Needle Rush,Flex,Physical,Cactoid,15,70,1,0,,0,foe,CACTOID-A,,,,
190,Desert Thorn,Flex,Special,Cactoid,10,85,0.9,0,,0,foe,CACTOID-A,,,,
191,Jaw Clamp,Flex,Physical,Canine,20,70,1,0,,0,foe,CANINE-A,,,,
192,Howl Surge,Flex,Status,Canine,20,,,0,atk_up,100,self,CANINE-A,,,,
193,Fetch Fling,Flex,Physical,Canine,20,55,1,0,,0,foe,CANINE-A,,,,
194,Pack Tackle,Flex,Physical,Canine,15,80,0.95,0,,0,foe,CANINE-A,,,,
195,Wool Wrap,Flex,Status,Ovine,20,,,0,def_up,100,self,OVINE-A,,,,
196,Headbutt Bleat,Flex,Physical,Ovine,20,65,1,0,,0,foe,OVINE-A,,,,
197,Fleecy Guard,Flex,Status,Ovine,15,,,0,def_up2,100,self,OVINE-A,,,,
198,Hoofstrike,Flex,Physical,Equine,20,80,1,0,,0,foe,EQUINE-A,,,,
199,Gallop Charge,Flex,Physical,Equine,15,90,0.95,1,,0,foe,EQUINE-A,,,,
200,Mane Whip,Flex,Physical,Equine,20,65,1,0,,0,foe,EQUINE-A,,,,
201,Stampede,Flex,Physical,Equine,5,120,0.8,-1,,0,foe,EQUINE-A,,,,
202,Scale Slash,Flex,Physical,Dragon,15,80,1,0,,0,foe,DRAGON-A,,,,
203,Dragon Roar,Flex,Status,Dragon,20,,,0,atk_up2,100,self,DRAGON-A,,,,
204,Dragonsbreath Bite,Flex,Physical,Dragon,10,90,0.85,0,,0,foe,DRAGON-A,,,,
205,Serpent Coil,Flex,Physical,Dragon,10,75,0.95,0,,0,foe,DRAGON-A,,,,
206,Ancient Surge,Flex,Special,Dragon,5,120,0.8,-1,,0,foe,DRAGON-A,,,,
207,Gear Grind,Flex,Physical,Mech,20,65,1,0,,0,foe,MECH-A,,,,
208,Laser Array,Flex,Special,Mech,10,100,0.85,0,,0,foe,MECH-A,,,,
209,Coolant Spray,Flex,Status,Mech,20,,,0,def_up,100,self,MECH-A,,,,
210,Overclocked Strike,Flex,Physical,Mech,10,110,0.8,0,,0,foe,MECH-A,,,,
