id,name,types,tags,evolution,scale,bio,hp,atk,def,s.atk,spd,rank,move1,move2,move3,move4,move5,locked
115,chainrak,water,,chainrak; chainwreck,0.9,Chainrak's chains are not restraints - they grew around its body naturally as a form of exoskeleton. Each link is bonded to the one before it with a biological resin stronger than welded steel.,12,12,12,32,32,A,Brineblast,Crashing Wave,Mist Veil,Pearl Burst,Undertow,Y
239,chainwreck,water,,chainrak; chainwreck,1.2,"Chainwreck's chains are so old that fossilized barnacles have attached to several links, suggesting it has spent significant time submerged. It shows no interest in discussing this.",15,13,12,37,23,S,Saltwater Spray,Surf Slam,Tidal Lock,Deluge Strike,Current Boost,
193,charlet,fire,,,0.5,"Charlet's ears are always lit with a soft flame it cannot extinguish - and cannot feel. The heat from them is just enough to warm a small area around it, which woodland creatures exploit shamelessly during cold nights.",14,26,15,14,31,B,Char Swipe,Combustion Fist,Ashen Veil,Wildfire Surge,Infernal Rush,Y
14,charmaw,fire,canine,,1,Charmaw's fur doesn't burn - it is made of compressed flame given the texture of hair. Touching it feels less like fire and more like running your hands through very warm static.,14,26,12,15,33,A,Ember Claw,Flamethrower,Scorch Mark,Jaw Clamp,Howl Surge,
289,chicsprout,flora,avian,,0.5,"Chicsprout's leaf wings are still growing and won't be ready for flight for several seasons. In the meantime, it uses them as sails in strong winds, being carried wherever the breeze takes it.",30,14,14,27,15,B,Pollen Guard,Seed Bomb,Briar Tangle,Gale Dive,Talon Strike,
15,chimeraze,primal,,,0.7,The tiny gold bells on Chimeraze's antennae ring at different frequencies depending on barometric pressure - locals use it as a weather prediction tool more reliable than any instrument.,27,33,15,13,12,A,Knuckle Down,Instinct Slash,Primal Roar,Gut Charge,Feral Bite,Y
109,chocobaby,fire,avian,chocobaby; chocoburn; chocoblaze,0.6,"Chocobaby's downy yellow feathers are remarkably heat-retentive, allowing it to maintain warmth in climates well below freezing. Despite this, it is instinctively drawn to the warmest spot in any room.",14,32,12,14,28,B,Singe,Magma Punch,Blaze Aura,Gale Dive,Soaring Peck,Y
108,chocoblaze,fire,avian,chocobaby; chocoburn; chocoblaze,1.1,"Chocoblaze's feathers have begun converting solar energy into kinetic power, letting it sustain flight for hours without a single wingbeat. It tends to look irritated during overcast days.",14,27,12,12,35,S,Ember Claw,Flamethrower,Scorch Mark,Gale Dive,Talon Strike,Y
16,chocoburn,fire,avian,chocobaby; chocoburn; chocoblaze,0.9,Chocoburn's talons conduct electrical charges built up during long flights and release them on contact. Its dramatic battle stance is partly the result of needing to ground itself before landing.,13,32,12,13,30,A,Char Swipe,Heat Wave,Ashen Veil,Gale Dive,Talon Strike,
17,churu,primal,avian,"churu; hootspring, churu; twihoot",0.6,"Churu's bow is tied from a material it secretes itself, similar to spider silk but far softer. It re-ties it every morning in an extremely specific knot that has never been successfully replicated by researchers.",35,29,12,13,11,C,Headbutt Charge,Concussive Blow,Primal Howl,Gale Dive,Talon Strike,
175,cinderlamb,fire,ovine,,0.8,Cinderlamb's wool is not flammable - it is already charred from birth and functions as a heat-resistant outer layer. The bell around its neck is strangely cold to the touch no matter the temperature around it.,12,38,11,12,27,B,Char Swipe,Combustion Fist,Ashen Veil,Wool Wrap,Headbutt Bleat,
18,cindrake,fire,dragon,,0.8,"Cindrake's hand-held lanterns are fueled by the fire it exhales - it must breathe on them regularly to keep them lit. Extinguishing them causes visible distress, even in total darkness.",11,35,12,11,31,B,Singe,Magma Punch,Blaze Aura,Scale Slash,Dragon Roar,
194,clamora,water,,,0.8,The smaller octopus atop Clamora's head is not a separate creature - it is a sensory organ that evolved independently and has its own rudimentary awareness. They disagree about directions constantly.,12,14,16,29,29,B,Deep Dive,Hydro Torrent,Bubble Shield,Maelstrom,Abyssal Surge,
313,cloveshell,primal,carapace,,1,Cloveshell's shell emits a faint herbal scent that intensifies when it retracts inside. Whether this is defensive or simply a side effect of its diet is still debated.,30,31,14,14,11,B,Headbutt Charge,Concussive Blow,Primal Howl,Shell Bash,Withdraw Guard,Y
195,coinnip,primal,,,0.8,"Coinnip can identify the weight, material, and age of any coin by touching it with its nose. It has never once spent a coin it collected, preferring to weigh and sort them.",29,29,12,15,15,B,Knuckle Down,Instinct Slash,Primal Roar,Gut Charge,Feral Bite,Y
196,conewalker,ice,,,0.6,"Conewalker's ice cream swirl top is maintained at a constant temperature by an internal organ - it never melts, even in summer. On cold days it gets inexplicably firmer.",14,14,26,33,13,B,Frost Claw,Crystal Lance,Permafrost,Glacial Slam,Blizzard,
197,corseal,water,,,0.8,Corseal's coral antlers grow slowly over its lifetime - older individuals have elaborate branching racks decorated with polyps and anemones that have colonized the surface. They never seem bothered by the weight.,13,16,11,34,26,B,Brineblast,Crashing Wave,Mist Veil,Pearl Burst,Undertow,
19,corvoss,dark,dragon,,1.1,Corvoss leaves no footprints despite its size - the pads of its feet secrete a compound that negates surface impression. Scholars dispute whether this is deliberate or simply how the creature is built.,15,32,11,12,30,A,Shade Siphon,Gloom Blast,Shadowstep,Scale Slash,Dragon Roar,
272,cosmopuff,ice,,,0.7,Cosmopuff's dome-shaped helmet is not manufactured - it grew around its head as a protective structure filled with pressurized atmosphere. The tusks are used to crack open the domes of rival Cosmopuffs.,13,16,33,24,14,A,Cryo Snap,Tundra Crash,Snowdrift Veil,Freeze Ray,Deep Freeze,
198,crabawl,water,,,0.7,Crabawl is always crying - not from sadness but because its eyes naturally overproduce moisture to keep them clean in salt water. It has simply never found a way to explain this to anyone.,12,15,12,30,31,B,Brineblast,Crashing Wave,Mist Veil,Pearl Burst,Undertow,Y
316,cragmouth,fire; terra,,,1,Cragmouth's interior is hollow and filled with slowly circulating magma that it can project from its enormous mouth. The teeth are not stone - they are cooled lava that has hardened into crystalline formations.,18,21,22,13,26,A,Singe,Magma Punch,Blaze Aura,Pebble Rain,Heat Wave,
199,creamoo,primal,bovine,,1,Creamoo's milk has a natural cream content so high it sets into butter at room temperature. It spends its free time perfecting recipes it cannot share with anyone because it has no hands capable of writing.,30,34,13,12,11,A,Body Press Crush,Primal Surge,Savage Aura,Headbutt Bleat,Knuckle Down,Y
201,crescyon,fae; flora,,,1.1,"Crescyon's golden markings appear and fade in cycles precisely matching the lunar calendar, brightening at the full moon and nearly vanishing at the new moon. No one has explained the mechanism responsible.",16,12,30,30,12,A,Petal Barrage,Starfall,Lullaby Dust,Web Snare,Charm Aura,Y
265,crestling,fire,,,0.7,Crestling's extraordinary leaf mane does not fall in autumn - the leaves are permanently attached and simply turn colors with the seasons before returning to green. The full cycle takes exactly one year.,29,33,12,13,13,B,Torch Tackle,Inferno Blast,Brand Mark,Solar Flare,Kindling Spark,Y
202,crocclaw,water,,crooklet; crocclaw,1.2,Crocclaw's upright posture developed from a habit of wading through shallow rivers and reaching for hanging fruit. The muscles required for this have made its arms significantly more powerful than its legs.,11,13,10,33,33,A,Tideclaw,Waterfall Rush,Soakwave,Riptide,Coral Crush,Y
200,crooklet,water,,crooklet; crocclaw,0.8,"Crooklet has an extremely expressive face despite its reptilian features, cycling through dozens of identifiable expressions per minute. It is largely unaware of this and would be horrified to know.",13,11,12,31,33,B,Saltwater Spray,Surf Slam,Tidal Lock,Deluge Strike,Current Boost,
203,cryobee,ice,,cryobell; cryobee,1,"Cryobee's stinger deposits a drop of crystalline ice rather than venom, freezing tissue at the point of contact. The ice melts within minutes, leaving no lasting wound - which Cryobee finds deeply unsatisfying.",11,17,27,33,12,A,Cryo Snap,Tundra Crash,Snowdrift Veil,Freeze Ray,Deep Freeze,
22,cryobell,ice,,cryobell; cryobee,0.6,"Cryobell's drooping antennae fill with ice crystals overnight, growing heavier as temperatures drop. On the coldest mornings, it can barely lift its head until afternoon warmth thaws them enough to straighten.",12,10,40,26,12,B,Cryo Snap,Tundra Crash,Snowdrift Veil,Freeze Ray,Deep Freeze,
249,cryocub,ice,canine,cubbo; cryocub,0.9,"The ice cubes embedded in Cryocub's collar never melt - they replenish themselves from moisture in the air. Cryocub chews on them compulsively when anxious, which does nothing.",14,12,27,33,14,A,Cryo Snap,Tundra Crash,Snowdrift Veil,Jaw Clamp,Howl Surge,
153,cubbo,primal,canine,"cubbo; joltcub, cubbo; cryocub, cubbo; gloomcub, cubbo; flarecub, cubbo; aquacub, cubbo; leafcub",0.7,Cubbo's bead necklace is made from seeds it swallowed as a cub that hardened inside its stomach before it coughed them back up. It wears them as a trophy. Researchers do not ask follow-up questions.,32,32,11,13,12,B,Knuckle Down,Instinct Slash,Primal Roar,Jaw Clamp,Howl Surge,
205,cubesicle,ice,,,0.8,"Cubesicle's ice cube head never melts even at high temperatures, but it does fog up when embarrassed. Its body heat is routed entirely away from its head, keeping the cube pristine.",11,11,34,29,15,B,Icicle Spear,Subzero Pulse,Frost Armor,Avalanche Rush,Hailstone Burst,
206,cuboulder,terra,ursine,"cuboulder; brutalon, cuboulder; grizzleroot",1,Cuboulder has carried the same boulder since birth - the runes on its surface predate the creature by centuries and are believed to magnify its strength. Cuboulder itself cannot read them.,29,12,31,12,16,B,Pebble Rain,Cavern Crash,Clay Mold,Maul,Bear Hug,Y
123,dandypuff,flora,,,0.6,"The dandelion growing from Dandypuff's head releases seeds whenever it sneezes, which happens constantly. It wears the metal mask not for decoration but to minimize inadvertent seed dispersal in enclosed spaces.",30,12,11,36,11,B,Root Bind,Bloom Burst,Chloro Slash,Photosynthesis,Larva Barrage,
24,dapperink,water,,,0.8,Dapperink produces a rich blue ink from glands in its paws that it uses to sign everything it touches with an elaborate personal seal. Most objects in its territory bear this mark in at least three locations.,15,10,13,30,32,B,Deep Dive,Hydro Torrent,Bubble Shield,Maelstrom,Abyssal Surge,
210,dinglet,terra,canine,dinglet; dingodash; dingodor,0.7,"Dinglet's glowing forehead mark brightens when it senses emotional distress in nearby creatures. It has never figured out how to use this information constructively, but it tries very hard.",35,13,28,10,14,B,Pebble Rain,Cavern Crash,Clay Mold,Jaw Clamp,Howl Surge,
211,dingodash,terra,canine,dinglet; dingodash; dingodor,0.9,"Dingodash's white markings are not painted - they are thermoregulatory channels that release heat during sprinting. The faster it runs, the brighter they glow from radiated warmth.",26,11,37,11,15,A,Earth Veil,Stonewall Smash,Magma Crust,Jaw Clamp,Howl Surge,Y
212,dingodor,terra,canine,dinglet; dingodash; dingodor,1.1,"Dingodor's red eyes glow brightest just before it howls, acting as a one-second warning. Whether this is for the benefit of allies or simply a biological warmup is unclear.",25,15,29,16,15,S,Boulder Barrage,Sandstorm Surge,Stone Bastion,Jaw Clamp,Howl Surge,Y
33,doomhawn,dark,bovine,buffawn; doomhawn,1.1,"The tips of Doomhawn's horns disrupt magnetic fields in their immediate vicinity, causing compasses to spin wildly within thirty feet. It is never lost; everything else simply loses its bearings.",16,25,12,11,36,A,Shade Siphon,Gloom Blast,Shadowstep,Headbutt Bleat,Body Press Crush,Y
126,doomveil,dark,,,1,The dark orbs drifting around Doomveil are solidified shadow - they harden when Doomveil is stressed and dissolve in sunlight. It spends considerable energy keeping them intact during the day.,16,26,14,14,30,B,Dread Aura,Hex Blast,Abyssal Gaze,Eclipse Bolt,Nightmare Claw,Y
208,dreadmare,dark; water,dragon,glimpmare; dreadmare,1.1,"Dreadmare's enormous jaw generates a vacuum pull when opened rapidly underwater, drawing in prey from a surprising distance. It practices this maneuver endlessly, sometimes sucking in things it didn't intend to.",16,18,14,19,33,A,Shadow Lunge,Nightfall Pulse,Curse Mark,Brineblast,Scale Slash,Y
