id,name,types,tags,evolution,scale,bio,hp,atk,def,s.atk,spd,rank,move1,move2,move3,move4,move5
268,bananibble,flora,harvest,,0.6,This creature uses banana peels as natural tools to aid in seed dispersal by rolling them into nutrient-rich pulp that supports germination.,31,28,13,16,12,B,Vine Lash,Leaf Blade,Spore Burst,Pulp Burst,Juicy Splash
103,banarion,primal,harvest,banani; banarion,1.2,This lion-like creature consumes large quantities of bananas as part of its daily diet.,28,38,10,12,12,S,Body Press Crush,Primal Surge,Savage Aura,Pulp Burst,Juicy Splash
247,bandit,primal,,"bandit; shadebandit, bandit; flamebandit",0.6,This animal uses its padded feet to grip tree bark while climbing in forested areas.,26,34,12,15,13,B,Headbutt Charge,Concussive Blow,Primal Howl,Ground Pound,Endure Break
152,beeatrice,primal,,buzzlette; beeatrice,1,This insect uses wing vibrations as a method of communication during mating rituals.,38,26,13,12,11,A,Knuckle Down,Instinct Slash,Primal Roar,Gut Charge,Feral Bite
273,berrylop,flora,harvest,berrylop; bloomiebun,0.6,This creature uses leafy appendages to gather sunlight while resting in shaded areas near flowering plants.,39,13,12,25,11,B,Pollen Guard,Seed Bomb,Briar Tangle,Pulp Burst,Juicy Splash
254,billcrest,primal,avian,,0.6,This bird uses its large beak to probe open crevices in search of insects and small prey hidden beneath bark.,28,31,14,13,14,A,Rough Tumble,Iron Will Strike,Savagery,Gale Dive,Talon Strike
7,bloomgrin,fae,feline,,0.7,"This creature frequently flicks its tail in a rapid motion while standing alert, likely signaling readiness to pounce.",15,14,31,29,11,A,Petal Barrage,Starfall,Lullaby Dust,Pounce,Claw Flurry
143,bloomiebun,flora,floral,berrylop; bloomiebun,0.8,This creature uses its large petals as camouflage while resting in leafy vegetation near water sources.,33,12,13,26,16,A,Vine Lash,Leaf Blade,Spore Burst,Petal Shower,Bloom Aura
288,bloomsprout,flora,,,0.5,This creature uses leaf-like appendages to absorb sunlight through photosynthesis while floating in air currents near forest canopies.,27,12,12,35,14,B,Root Bind,Bloom Burst,Chloro Slash,Photosynthesis,Larva Barrage
291,blossaur,flora,floral,,1,This creature uses its large flower-like structure as a sunshade while resting in shaded areas during peak daylight hours.,29,14,16,29,12,A,Web Snare,Petal Hurricane,Verdant Torrent,Petal Shower,Bloom Aura
8,blossfawn,fae,,blossfawn; petalka,0.8,This creature uses its antlers as natural tools to gather pollen from flowering plants during springtime activities.,10,11,33,33,13,B,Petal Barrage,Starfall,Lullaby Dust,Charm Aura,Blossom Charm
98,blossle,fae,floral,blossle; blossomble,0.5,This creature uses its large leaf-like appendages to absorb sunlight through photosynthesis in shaded areas.,10,11,28,36,15,B,Wisp Slash,Moonveil Pulse,Dreamweave,Petal Shower,Bloom Aura
102,blossomble,fae,floral,blossle; blossomble,1,This creature uses its large head crest as a shield against wind-blown debris while standing in open terrain.,13,14,33,29,11,S,Glimmer Touch,Pixie Blast,Enchant Wave,Petal Shower,Bloom Aura
9,bluffin,primal,,bluffin; flufflare,0.6,This animal uses rapid tail flicks to communicate social signals during group interactions in open habitats.,25,31,16,13,15,B,Body Press Crush,Primal Surge,Savage Aura,Apex Strike,Berserk Rush
278,blushbud,flora,,blushbud; petalbud,0.4,This plant-like organism curls into a compact posture while resting in leafy shade at dawn.,27,13,14,33,13,B,Web Snare,Petal Hurricane,Verdant Torrent,Spore Cloud,Overgrow Slam
270,boltwing,volt,dragon,,1.3,This creature emits low-frequency vibrations through its tail during deep sleep cycles.,11,14,10,27,38,S,Spark Burst,Charge Crash,Dynamo Stance,Scale Slash,Dragon Roar
154,bonecaw,dark,avian,bonepip; bonecaw,0.7,This bird frequently perches on high branches during dawn to scan for signs of prey movement in open areas.,14,30,15,15,26,A,Shadow Lunge,Nightfall Pulse,Curse Mark,Gale Dive,Talon Strike
333,bonepip,dark,avian,bonepip; bonecaw,0.4,This bird frequently uses rapid wing flaps to create vibrations in the air that help it detect prey movement beneath leaf litter.,13,29,12,12,34,B,Dread Aura,Hex Blast,Abyssal Gaze,Gale Dive,Talon Strike
185,boomlet,volt,,,0.8,This creature emits electrical pulses from its body whenever it detects potential energy sources in its environment.,14,12,10,36,28,B,Thunder Jab,Voltbeam,Overload,Arc Surge,Static Clap
10,bowdrake,fae,,,0.9,This creature uses its tail as a tool to gently tap at nearby surfaces while exploring new terrain.,10,12,30,34,14,B,Glimmer Touch,Pixie Blast,Enchant Wave,Gossamer Strike,Petal Barrage
72,bowtuss,water,,,0.8,This octopus-like creature extends its tentacles in coordinated pulses while exploring shallow reef zones.,11,10,17,29,33,A,Deep Dive,Hydro Torrent,Bubble Shield,Maelstrom,Abyssal Surge
11,brambarric,terra,cactoid,,1.2,This creature carries a cactus on its back as part of its daily routine for protection against predators in arid environments.,31,11,28,16,14,A,Pebble Rain,Cavern Crash,Clay Mold,Spine Volley,Needle Rush
187,bristawild,terra; fire,,bristawit; bristawild,1,This creature uses its tail as a defensive weapon by flicking it rapidly at threats during territorial disputes.,29,13,28,15,15,A,Boulder Barrage,Sandstorm Surge,Stone Bastion,Char Swipe,Quake Stomp
238,bristawit,terra; fire,,bristawit; bristawild,0.7,This creature curls into a tight posture while sitting still in a sunlit den.,29,13,32,13,13,B,Boulder Barrage,Sandstorm Surge,Stone Bastion,Char Swipe,Quake Stomp
12,bristlebark,flora,,,1,This creature uses leafy appendages as tools to sift through forest litter in search of hidden insects.,29,14,14,29,14,A,Vine Lash,Leaf Blade,Spore Burst,Thorn Volley,Flora Pulse
112,bronzeplume,primal,avian,puplume; bronzeplume,1,This bird displays a unique mating ritual by performing synchronized feather fanning during courtship displays in dense forest habitats.,30,32,14,12,12,A,Headbutt Charge,Concussive Blow,Primal Howl,Gale Dive,Talon Strike
240,brutalon,terra,ursine,cuboulder; brutalon,1.4,This bear carries rocks on its back as part of a natural defense mechanism against predators in rocky terrain.,34,11,30,15,10,A,Pebble Rain,Cavern Crash,Clay Mold,Maul,Bear Hug
296,brutebug,terra,carapace,,0.4,This creature uses its powerful claws to dig into compacted earth in search of hidden roots and nutrients.,34,13,26,12,15,A,Gravel Pelt,Rockslide,Sinkhole,Shell Bash,Withdraw Guard
188,bubbler,water,,bubbliss; bubbler,0.6,This creature emits soft light pulses from its core whenever it detects nearby moisture in the ground.,13,14,16,28,29,A,Brineblast,Crashing Wave,Mist Veil,Pearl Burst,Undertow
189,bubbliss,water,,bubbliss; bubbler,0.4,"This creature emits soft gurgling sounds while floating in water-filled bubbles, likely communicating through acoustic vibrations during social interactions.",12,12,11,31,34,B,Tideclaw,Waterfall Rush,Soakwave,Riptide,Coral Crush
25,budbaa,primal,ovine; floral,,0.8,This young creature gently nudges a sunflower stem with its nose while standing in an open field.,27,33,14,12,14,B,Knuckle Down,Instinct Slash,Primal Roar,Wool Wrap,Headbutt Bleat
173,budpole,water,,budpole; spriggup,0.6,"This creature emits soft vibrations from its body during social interactions, suggesting a communication method used in group bonding rituals.",11,12,13,30,34,C,Saltwater Spray,Surf Slam,Tidal Lock,Deluge Strike,Current Boost
309,budvex,flora,floral,budvex; floramene,0.8,"This plant-like organism emits a low-frequency vibration from its central stem during periods of high stress, which may help it communicate within its microhabitat.",31,13,14,29,13,B,Web Snare,Petal Hurricane,Verdant Torrent,Petal Shower,Bloom Aura
106,buffawn,dark,bovine,buffawn; doomhawn,1,This creature uses its large horns as tools to dig into soft ground in search of underground roots.,14,30,12,12,32,B,Shade Siphon,Gloom Blast,Shadowstep,Headbutt Bleat,Body Press Crush
190,burrowrex,terra,,,0.6,This creature uses its tail as a tool to probe the ground in search of small insects during dawn hours.,42,12,22,11,13,B,Gravel Pelt,Rockslide,Sinkhole,Terra Fissure,Mudshot
26,buttermew,primal,,,0.6,This creature consistently uses its tail tip as a tool to probe soft ground surfaces in search of small insects.,30,35,10,13,12,A,Body Press Crush,Primal Surge,Savage Aura,Apex Strike,Berserk Rush
331,buzzboot,volt,,,0.8,This creature emits a low-frequency hum from its chest cavity while standing in a tense posture.,16,11,13,31,29,A,Conductor Claw,Galvanic Slam,Shock Grid,Zap Cannon,Arc Surge
28,buzzlette,primal,,"buzzlette; beeatrice, buzzlette; flutterburn, buzzlette; flutterking",0.4,This insect uses its antennae to detect chemical signals in decaying fruit matter near forested streams.,27,34,14,14,11,C,Body Press Crush,Primal Surge,Savage Aura,Apex Strike,Berserk Rush
191,cabbuskid,flora,,cabbuskid; cabbuskiller,0.6,This creature emits bright blue light from its head whenever it detects chemical traces of nearby organic matter in decaying plant material.,26,13,12,35,14,B,Pollen Guard,Seed Bomb,Briar Tangle,Nettle Sting,Canopy Crush
237,cabbuskiller,flora,,cabbuskid; cabbuskiller,1,This onion-like creature emits faint blue light from its body whenever it detects nearby moisture in decaying plant matter.,30,11,14,31,14,A,Vine Lash,Leaf Blade,Spore Burst,Thorn Volley,Flora Pulse
29,cactini,terra,cactoid,cactini; cactussle,0.7,This plant-like organism extends its spiny arms upward in response to elevated humidity levels detected by its root system.,27,12,34,13,14,B,Pebble Rain,Cavern Crash,Clay Mold,Spine Volley,Needle Rush
30,cactraddle,terra,cactoid,,1.1,This creature uses its tail as a flexible tool to probe into shallow burrows in search of insects.,27,10,37,11,15,A,Earth Veil,Stonewall Smash,Magma Crust,Spine Volley,Needle Rush
283,cactussle,terra,cactoid,cactini; cactussle,1,This plant-like creature uses its spines to absorb sunlight through photosynthesis while also deterring herbivores by releasing chemical signals during defense responses.,33,13,30,14,10,A,Gravel Pelt,Rockslide,Sinkhole,Spine Volley,Needle Rush
148,candlepurr,fae,feline,,0.8,"This cat-like creature holds two candlesticks in each paw, suggesting it may be performing ceremonial duties during nighttime rituals.",12,14,34,27,13,A,Wisp Slash,Moonveil Pulse,Dreamweave,Pounce,Claw Flurry
31,catcus,terra,cactoid,,0.8,This cactus-kitten-like creature burrows into earth to access underground water sources during dry seasons.,29,12,31,14,14,B,Pebble Rain,Cavern Crash,Clay Mold,Spine Volley,Needle Rush
192,cerberuff,dark,canine,,1.1,"This trio of dogs stands in formation, baring teeth as if preparing to attack prey from their shared territory.",12,26,12,13,37,A,Shade Siphon,Gloom Blast,Shadowstep,Jaw Clamp,Howl Surge
115,chainrak,water,,chainrak; chainwreck,0.9,This creature uses a heavy chain as an improvised weapon during territorial disputes in sandy environments.,12,12,12,32,32,A,Brineblast,Crashing Wave,Mist Veil,Pearl Burst,Undertow
239,chainwreck,water,,chainrak; chainwreck,1.2,This creature uses heavy chains as tools to dig through sand in search of underground resources.,15,13,12,37,23,S,Saltwater Spray,Surf Slam,Tidal Lock,Deluge Strike,Current Boost
193,charlet,fire,,,0.5,This creature emits a faint flame from its back during rest periods as part of its thermoregulatory behavior.,14,26,15,14,31,B,Char Swipe,Combustion Fist,Ashen Veil,Wildfire Surge,Infernal Rush
14,charmaw,fire,canine,,1,This creature emits intense heat from its body whenever it approaches prey in close proximity.,14,26,12,15,33,A,Ember Claw,Flamethrower,Scorch Mark,Jaw Clamp,Howl Surge
289,chicsprout,flora,avian,,0.5,This bird-like creature flutters its leafy appendages in response to sudden changes in air pressure near forest canopy edges.,30,14,14,27,15,B,Pollen Guard,Seed Bomb,Briar Tangle,Gale Dive,Talon Strike
15,chimeraze,primal,,,0.7,This creature uses its bell-shaped appendages to produce rhythmic sounds while exploring its environment.,27,33,15,13,12,A,Knuckle Down,Instinct Slash,Primal Roar,Gut Charge,Feral Bite
109,chocobaby,fire,avian,chocobaby; chocoburn; chocoblaze,0.6,This bird-like creature frequently flutters its tail feathers in rhythmic patterns while perched on branches near water sources.,14,32,12,14,28,B,Singe,Magma Punch,Blaze Aura,Gale Dive,Soaring Peck
108,chocoblaze,fire,avian,chocobaby; chocoburn; chocoblaze,1.1,This bird-like creature spreads its arms wide in a display of territorial dominance during mating season.,14,27,12,12,35,S,Ember Claw,Flamethrower,Scorch Mark,Gale Dive,Talon Strike
16,chocoburn,fire,avian,chocobaby; chocoburn; chocoblaze,0.9,This creature emits a low-frequency hum from its throat during territorial disputes.,13,32,12,13,30,A,Char Swipe,Heat Wave,Ashen Veil,Gale Dive,Talon Strike
17,churu,primal,avian,"churu; hootspring, churu; twihoot",0.6,This owl uses its beak to probe leaf litter in search of small insects during dawn hours.,35,29,12,13,11,C,Headbutt Charge,Concussive Blow,Primal Howl,Gale Dive,Talon Strike
175,cinderlamb,fire,ovine,,0.8,This creature emits soft chimes from its bell-shaped accessory while resting in a quiet enclosure.,12,38,11,12,27,B,Char Swipe,Combustion Fist,Ashen Veil,Wool Wrap,Headbutt Bleat
18,cindrake,fire,dragon,,0.8,"This creature holds lanterns in both paws, illuminating its surroundings as it moves through dim environments.",11,35,12,11,31,B,Singe,Magma Punch,Blaze Aura,Scale Slash,Dragon Roar
194,clamora,water,,,0.8,This octopus gently curls its tentacles around itself while resting in a calm underwater environment.,12,14,16,29,29,B,Deep Dive,Hydro Torrent,Bubble Shield,Maelstrom,Abyssal Surge
313,cloveshell,primal,carapace,,1,This creature uses its tail as a tool to probe the ground in search of hidden food sources.,30,31,14,14,11,B,Headbutt Charge,Concussive Blow,Primal Howl,Shell Bash,Withdraw Guard
195,coinnip,primal,,,0.8,"This fox carries a small pouch filled with coins, suggesting it stores resources for future travel or trade in its natural environment.",29,29,12,15,15,B,Knuckle Down,Instinct Slash,Primal Roar,Gut Charge,Feral Bite
196,conewalker,ice,,,0.6,This creature uses its antennae-like ears to detect subtle vibrations in the ground during nocturnal foraging.,14,14,26,33,13,B,Frost Claw,Crystal Lance,Permafrost,Glacial Slam,Blizzard
197,corseal,water,,,0.8,This seal-like creature displays an unusual feeding behavior by consuming coral fragments during low tide periods in coastal marine zones.,13,16,11,34,26,B,Brineblast,Crashing Wave,Mist Veil,Pearl Burst,Undertow
19,corvoss,dark,dragon,,1.1,This dragon uses its tail as a tool to probe the ground in search of hidden prey beneath leaf litter.,15,32,11,12,30,A,Shade Siphon,Gloom Blast,Shadowstep,Scale Slash,Dragon Roar
272,cosmopuff,ice,,,0.7,This creature emits soft vibrations from its body during nocturnal exploration of rocky terrain.,13,16,33,24,14,A,Cryo Snap,Tundra Crash,Snowdrift Veil,Freeze Ray,Deep Freeze
198,crabawl,water,,,0.7,This crab tears up water droplets from its claws as it struggles to maintain balance in shallow tide pools.,12,15,12,30,31,B,Brineblast,Crashing Wave,Mist Veil,Pearl Burst,Undertow
316,cragmouth,fire; terra,,,1,"This creature emits glowing energy from its core during volcanic activity, signaling an impending eruption.",18,21,22,13,26,A,Singe,Magma Punch,Blaze Aura,Pebble Rain,Heat Wave
199,creamoo,primal,bovine,,1,This creature frequently uses its tail as a makeshift whisk while stirring ingredients in a cooking pot.,30,34,13,12,11,A,Body Press Crush,Primal Surge,Savage Aura,Headbutt Bleat,Knuckle Down
201,crescyon,fae; flora,,,1.1,This creature emits soft green light from its antlers during twilight hours as part of a natural photoreception behavior.,16,12,30,30,12,A,Petal Barrage,Starfall,Lullaby Dust,Web Snare,Charm Aura
265,crestling,fire,,,0.7,"This creature gathers fallen seeds from the ground, likely using them as part of its diet during feeding behavior in open areas.",29,33,12,13,13,B,Torch Tackle,Inferno Blast,Brand Mark,Solar Flare,Kindling Spark
202,crocclaw,water,,crooklet; crocclaw,1.2,This creature uses powerful jaws to crush hard-shelled prey in its natural habitat.,11,13,10,33,33,A,Tideclaw,Waterfall Rush,Soakwave,Riptide,Coral Crush
200,crooklet,water,,crooklet; crocclaw,0.8,This creature uses its tail as a tool to probe soft ground in search of small insects.,13,11,12,31,33,B,Saltwater Spray,Surf Slam,Tidal Lock,Deluge Strike,Current Boost
203,cryobee,ice,,cryobell; cryobee,1,"This insect-like creature emits faint blue light from its body as it navigates through icy terrain, possibly using bioluminescence for navigation.",11,17,27,33,12,A,Cryo Snap,Tundra Crash,Snowdrift Veil,Freeze Ray,Deep Freeze
22,cryobell,ice,,cryobell; cryobee,0.6,This creature emits small droplets from its antennae as part of a natural moisture regulation behavior during low humidity periods.,12,10,40,26,12,B,Cryo Snap,Tundra Crash,Snowdrift Veil,Freeze Ray,Deep Freeze
249,cryocub,ice,canine,cubbo; cryocub,0.9,This animal gathers ice cubes around its neck as part of a ritualized cooling behavior during seasonal temperature shifts.,14,12,27,33,14,A,Cryo Snap,Tundra Crash,Snowdrift Veil,Jaw Clamp,Howl Surge
153,cubbo,primal,canine,"cubbo; joltcub, cubbo; cryocub, cubbo; gloomcub, cubbo; flarecub, cubbo; aquacub, cubbo; leafcub",0.7,This animal uses its padded paws to gently press against rocks while exploring nearby ledges in search of small insects.,32,32,11,13,12,B,Knuckle Down,Instinct Slash,Primal Roar,Jaw Clamp,Howl Surge
205,cubesicle,ice,,,0.8,This creature emits soft chime-like sounds while sitting in icy terrain during winter months.,11,11,34,29,15,B,Icicle Spear,Subzero Pulse,Frost Armor,Avalanche Rush,Hailstone Burst
206,cuboulder,terra,ursine,"cuboulder; brutalon, cuboulder; grizzleroot",1,This animal carries a large stone on its back as part of its daily ritual to maintain balance during travel through rugged terrain.,29,12,31,12,16,B,Pebble Rain,Cavern Crash,Clay Mold,Maul,Bear Hug
123,dandypuff,flora,,,0.6,This plant-like creature emits soft vibrations from its central stalk while resting in open fields during dawn hours.,30,12,11,36,11,B,Root Bind,Bloom Burst,Chloro Slash,Photosynthesis,Larva Barrage
24,dapperink,water,,,0.8,This animal uses its tail as a tool to gently prod at soft ground while scanning for hidden food sources in dense vegetation.,15,10,13,30,32,B,Deep Dive,Hydro Torrent,Bubble Shield,Maelstrom,Abyssal Surge
210,dinglet,terra,canine,dinglet; dingodash; dingodor,0.7,This animal emits soft light from its forehead whenever it detects movement in nearby vegetation.,35,13,28,10,14,B,Pebble Rain,Cavern Crash,Clay Mold,Jaw Clamp,Howl Surge
211,dingodash,terra,canine,dinglet; dingodash; dingodor,0.9,This animal uses its sharp claws to dig into loose earth while scanning for hidden prey beneath leaf litter in dense forest understories.,26,11,37,11,15,A,Earth Veil,Stonewall Smash,Magma Crust,Jaw Clamp,Howl Surge
212,dingodor,terra,canine,dinglet; dingodash; dingodor,1.1,"This animal sits in an alert posture, constantly scanning the surroundings as if anticipating movement from nearby prey.",25,15,29,16,15,S,Boulder Barrage,Sandstorm Surge,Stone Bastion,Jaw Clamp,Howl Surge
33,doomhawn,dark,bovine,buffawn; doomhawn,1.1,This creature uses its powerful horns to intimidate prey by creating loud roaring sounds during territorial disputes.,16,25,12,11,36,A,Shade Siphon,Gloom Blast,Shadowstep,Headbutt Bleat,Body Press Crush
126,doomveil,dark,,,1,This creature emits dark energy bursts from its claws during territorial disputes.,16,26,14,14,30,B,Dread Aura,Hex Blast,Abyssal Gaze,Eclipse Bolt,Nightmare Claw
208,dreadmare,dark; water,dragon,glimpmare; dreadmare,1.1,"This creature emits a low-frequency hum from its throat during territorial displays, possibly signaling dominance in its aquatic environment.",16,18,14,19,33,A,Shadow Lunge,Nightfall Pulse,Curse Mark,Brineblast,Scale Slash
157,driftquill,water,,driftquill; driftrella,0.6,This creature uses its tentacles to gently fan water currents around its burrow entrance during low tide.,11,13,14,27,35,C,Saltwater Spray,Surf Slam,Tidal Lock,Deluge Strike,Current Boost
158,driftrella,water,,driftquill; driftrella,0.8,This creature uses its tentacles to collect rainwater from surrounding surfaces as it navigates through damp environments.,12,12,14,25,37,A,Tideclaw,Waterfall Rush,Soakwave,Riptide,Coral Crush
133,drillvex,terra,avian,,1,This creature uses rapid wing flaps to generate lift during high-speed flight over rocky terrain.,31,17,28,12,12,A,Earth Veil,Stonewall Smash,Magma Crust,Gale Dive,Talon Strike
34,drowsloth,primal,,,0.7,This creature emits soft chirps while sitting in quiet observation of its surroundings.,30,30,12,13,15,A,Body Press Crush,Primal Surge,Savage Aura,Apex Strike,Berserk Rush
311,dubgrub,dark,,dubgrub; silker,0.6,This creature uses rapid tail movements as a form of communication during social interactions in its natural environment.,14,27,11,13,35,B,Dread Aura,Hex Blast,Abyssal Gaze,Eclipse Bolt,Nightmare Claw
304,duckgaze,water,avian,,0.8,This bird frequently uses short bursts of flight to communicate territorial boundaries during mating season.,12,12,11,27,38,A,Tideclaw,Waterfall Rush,Soakwave,Gale Dive,Talon Strike
209,duskbloom,dark; flora,floral,,1,This black creature gathers daffodils in its den during spring's first bloom cycle.,17,23,13,27,20,A,Shadow Lunge,Nightfall Pulse,Curse Mark,Pollen Guard,Petal Shower
142,dustoad,terra; fire,,,0.7,This creature uses its tail as a tool to probe the ground in search of small insects.,27,13,35,12,13,B,Pebble Rain,Cavern Crash,Clay Mold,Torch Tackle,Sediment Wave
35,eldrun,dark; terra,equine,,1,This creature uses leafy appendages as tools to sift through forest litter in search of hidden insects.,20,26,18,12,24,B,Shadow Lunge,Nightfall Pulse,Curse Mark,Boulder Barrage,Hoofstrike
36,emberine,fire,feline,,0.8,This creature emits faint blue energy from its tail whenever it approaches warm surfaces near water sources.,11,25,14,12,38,B,Char Swipe,Combustion Fist,Ashen Veil,Pounce,Claw Flurry
213,embermane,fire,equine,,1.1,This creature emits intense heat from its body during nocturnal feeding sessions in open savannas.,11,30,13,15,31,A,Ember Claw,Flamethrower,Scorch Mark,Hoofstrike,Gallop Charge
130,emeraldillo,terra,carapace,,1,This creature uses its tail as a tool to dig in loose earth during nocturnal foraging sessions.,32,11,33,13,11,B,Gravel Pelt,Rockslide,Sinkhole,Shell Bash,Withdraw Guard
306,esperelle,fae,feline,,0.9,This creature emits soft vibrations from its paws during nighttime patrols in open areas.,14,15,31,28,12,A,Glimmer Touch,Pixie Blast,Enchant Wave,Pounce,Claw Flurry
257,faunaflow,flora,,,1,This creature uses its long tail as a sensory tool to detect subtle vibrations in the ground during nocturnal foraging.,29,14,14,31,12,A,Pollen Guard,Seed Bomb,Briar Tangle,Nettle Sting,Canopy Crush
125,fayefawn,fae,,,1,"This creature emits soft light from its horn during twilight hours, signaling territorial boundaries in open fields.",14,14,32,27,13,A,Petal Barrage,Starfall,Lullaby Dust,Charm Aura,Blossom Charm
166,feyflutter,primal,,,0.7,This creature emits soft light from its body whenever it approaches a source of moisture in the canopy.,30,28,14,13,15,A,Knuckle Down,Instinct Slash,Primal Roar,Gut Charge,Feral Bite
287,finweave,water,,,0.7,This creature uses rapid tail flicks to create water currents that disperse small particles in its aquatic environment.,15,17,11,28,29,A,Brineblast,Crashing Wave,Mist Veil,Pearl Burst,Undertow
330,fiyena,fire,canine,,0.9,"This animal emits bursts of heat from its body during intense physical activity, likely as part of thermoregulation in hot environments.",14,32,13,16,25,A,Ember Claw,Flamethrower,Scorch Mark,Jaw Clamp,Howl Surge
5,flamebandit,fire,,bandit; flamebandit,0.8,This animal emits bright flames from its tail during social interactions in warm climates.,10,32,16,15,27,A,Char Swipe,Combustion Fist,Ashen Veil,Wildfire Surge,Infernal Rush
293,flamefury,fire,,flamescout; flamefury,1.2,This dragon frequently emits heat pulses from its tail to warm nearby rocks during cold periods.,12,30,12,13,33,S,Ember Claw,Flamethrower,Scorch Mark,Pyre Strike,Kindling Spark
292,flamescout,fire,,flamescout; flamefury,0.9,This creature emits bursts of energy from its tail during periods of high alertness.,13,32,15,13,27,A,Torch Tackle,Inferno Blast,Brand Mark,Solar Flare,Kindling Spark
216,flarecub,fire,canine,cubbo; flarecub,0.9,This animal uses its tail's heat signature to detect nearby thermal anomalies in rocky terrain during nocturnal patrols.,16,33,13,13,25,A,Singe,Magma Punch,Blaze Aura,Jaw Clamp,Howl Surge
75,fleecey,primal; fae,ovine,fleek; fleecey,0.9,This animal curls into a tight ball during cold weather to conserve body heat in its natural environment.,32,33,12,12,11,A,Knuckle Down,Instinct Slash,Primal Roar,Wisp Slash,Wool Wrap
214,fleek,primal; fae,ovine,fleek; fleecey,0.6,"This young creature sits still, gently holding a pink ribbon that flows from its ears in a quiet display of calm observation.",22,39,13,11,15,B,Knuckle Down,Instinct Slash,Primal Roar,Wisp Slash,Wool Wrap
120,flicker,fire,,,0.8,This creature emits smoke from its tail as a sign of territorial marking during mating season.,12,33,11,13,31,B,Torch Tackle,Inferno Blast,Brand Mark,Solar Flare,Kindling Spark
305,floramene,flora,floral,budvex; floramene,0.9,This plant-like organism releases volatile compounds from its leaves during rainfall to attract pollinators.,30,14,13,32,11,S,Web Snare,Petal Hurricane,Verdant Torrent,Petal Shower,Bloom Aura
217,flotter,water,,,0.7,"This creature emits soft vibrations from its paws while sitting in shallow water, likely signaling readiness to move into deeper pools.",13,13,14,24,36,B,Deep Dive,Hydro Torrent,Bubble Shield,Maelstrom,Abyssal Surge
38,flufflare,fae,,bluffin; flufflare,0.8,This creature emits soft pink light from its forehead whenever it feels anxious or startled.,14,12,30,33,11,A,Glimmer Touch,Pixie Blast,Enchant Wave,Gossamer Strike,Petal Barrage
151,flutterbean,flora,,,0.7,This creature uses wing vibrations as a method of communication during mating rituals in forested areas.,35,14,12,29,10,B,Vine Lash,Leaf Blade,Spore Burst,Thorn Volley,Flora Pulse
218,flutterburn,fire,,buzzlette; flutterburn,0.8,This insect uses rapid wing flapping as a defense mechanism against aerial predators in its forest canopy habitat.,11,26,13,14,36,A,Ember Claw,Flamethrower,Scorch Mark,Pyre Strike,Kindling Spark
124,flutterking,primal,,buzzlette; flutterking,1,This bee-like creature collects honey from nectar sources in open meadows using specialized antennae to detect floral scents.,25,35,13,15,12,A,Rough Tumble,Iron Will Strike,Savagery,Wild Haymaker,Bone Rattler
