id,name,types,tags,evolution,scale,bio,hp,atk,def,s.atk,spd,rank,moves
10,bowdrake,fae,,,0.9,This creature uses its tail as a tool to gently tap at nearby surfaces while exploring new terrain.,10,12,30,34,14,B,FAE-B
72,bowtuss,water,,,0.8,This octopus-like creature extends its tentacles in coordinated pulses while exploring shallow reef zones.,11,10,17,29,33,A,WATER-B
11,brambarric,terra,cactoid,,1.2,This creature carries a cactus on its back as part of its daily routine for protection against predators in arid environments.,31,11,28,16,14,A,CACTOID-A; TERRA-A
187,bristawild,terra; fire,,bristawit; bristawild,1,This creature uses its tail as a defensive weapon by flicking it rapidly at threats during territorial disputes.,29,13,28,15,15,A,TERRA-B; FIRE-C
238,bristawit,terra; fire,,bristawit; bristawild,0.7,This creature curls into a tight posture while sitting still in a sunlit den.,29,13,32,13,13,B,TERRA-B; FIRE-C
12,bristlebark,flora,,,1,This creature uses leafy appendages as tools to sift through forest litter in search of hidden insects.,29,14,14,29,14,A,FLORA-B
112,bronzeplume,primal,avian,puplume; bronzeplume,1,This bird displays a unique mating ritual by performing synchronized feather fanning during courtship displays in dense forest habitats.,30,32,14,12,12,A,AVIAN-A; PRIMAL-C
240,brutalon,terra,ursine,cuboulder; brutalon,1.4,This bear carries rocks on its back as part of a natural defense mechanism against predators in rocky terrain.,34,11,30,15,10,A,TERRA-D; URSINE-A
296,brutebug,terra,carapace,,0.4,This creature uses its powerful claws to dig into compacted earth in search of hidden roots and nutrients.,34,13,26,12,15,A,CARAPACE-A; TERRA-A
188,bubbler,water,,bubbliss; bubbler,0.6,This creature emits soft light pulses from its core whenever it detects nearby moisture in the ground.,13,14,16,28,29,A,WATER-A
189,bubbliss,water,,bubbliss; bubbler,0.4,"This creature emits soft gurgling sounds while floating in water-filled bubbles, likely communicating through acoustic vibrations during social interactions.",12,12,11,31,34,B,WATER-A
25,budbaa,primal,ovine; floral,,0.8,This young creature gently nudges a sunflower stem with its nose while standing in an open field.,27,33,14,12,14,B,FLORAL-A; OVINE-A; PRIMAL-C
173,budpole,water,,budpole; spriggup,0.6,"This creature emits soft vibrations from its body during social interactions, suggesting a communication method used in group bonding rituals.",11,12,13,30,34,C,WATER-B
309,budvex,flora,floral,budvex; floramene,0.8,"This plant-like organism emits a low-frequency vibration from its central stem during periods of high stress, which may help it communicate within its microhabitat.",31,13,14,29,13,B,FLORA-D; FLORAL-A
106,buffawn,dark,bovine,buffawn; doomhawn,1,This creature uses its large horns as tools to dig into soft ground in search of underground roots.,14,30,12,12,32,B,DARK-C
190,burrowrex,terra,,,0.6,This creature uses its tail as a tool to probe the ground in search of small insects during dawn hours.,42,12,22,11,13,B,TERRA-C
26,buttermew,primal,,,0.6,This creature consistently uses its tail tip as a tool to probe soft ground surfaces in search of small insects.,30,35,10,13,12,A,PRIMAL-D
331,buzzboot,volt,,,0.8,This creature emits a low-frequency hum from its chest cavity while standing in a tense posture.,16,11,13,31,29,A,VOLT-B
28,buzzlette,primal,,"buzzlette; beeatrice, buzzlette; flutterburn, buzzlette; flutterking",0.4,This insect uses its antennae to detect chemical signals in decaying fruit matter near forested streams.,27,34,14,14,11,C,PRIMAL-A
191,cabbuskid,flora,,cabbuskid; cabbuskiller,0.6,This creature emits bright blue light from its head whenever it detects chemical traces of nearby organic matter in decaying plant material.,26,13,12,35,14,B,FLORA-B
237,cabbuskiller,flora,,cabbuskid; cabbuskiller,1,This onion-like creature emits faint blue light from its body whenever it detects nearby moisture in decaying plant matter.,30,11,14,31,14,A,FLORA-B
29,cactini,terra,cactoid,cactini; cactussle,0.7,This plant-like organism extends its spiny arms upward in response to elevated humidity levels detected by its root system.,27,12,34,13,14,B,CACTOID-A; TERRA-D
30,cactraddle,terra,cactoid,,1.1,This creature uses its tail as a flexible tool to probe into shallow burrows in search of insects.,27,10,37,11,15,A,CACTOID-A; TERRA-C
283,cactussle,terra,cactoid,cactini; cactussle,1,This plant-like creature uses its spines to absorb sunlight through photosynthesis while also deterring herbivores by releasing chemical signals during defense responses.,33,13,30,14,10,A,CACTOID-A; TERRA-D
148,candlepurr,fae,feline,,0.8,"This cat-like creature holds two candlesticks in each paw, suggesting it may be performing ceremonial duties during nighttime rituals.",12,14,34,27,13,A,FAE-A; FELINE-A
31,catcus,terra,cactoid,,0.8,This cactus-kitten-like creature burrows into earth to access underground water sources during dry seasons.,29,12,31,14,14,B,CACTOID-A; TERRA-B
192,cerberuff,dark,canine,,1.1,"This trio of dogs stands in formation, baring teeth as if preparing to attack prey from their shared territory.",12,26,12,13,37,A,CANINE-A; DARK-C
115,chainrak,water,,chainrak; chainwreck,0.9,This creature uses a heavy chain as an improvised weapon during territorial disputes in sandy environments.,12,12,12,32,32,A,WATER-C
239,chainwreck,water,,chainrak; chainwreck,1.2,This creature uses heavy chains as tools to dig through sand in search of underground resources.,15,13,12,37,23,S,WATER-C
193,charlet,fire,,,0.5,This creature emits a faint flame from its back during rest periods as part of its thermoregulatory behavior.,14,26,15,14,31,B,FIRE-A
14,charmaw,fire,canine,,1,This creature emits intense heat from its body whenever it approaches prey in close proximity.,14,26,12,15,33,A,CANINE-A; FIRE-A
289,chicsprout,flora,avian,,0.5,This bird-like creature flutters its leafy appendages in response to sudden changes in air pressure near forest canopy edges.,30,14,14,27,15,B,AVIAN-A; FLORA-C
15,chimeraze,primal,,,0.7,This creature uses its bell-shaped appendages to produce rhythmic sounds while exploring its environment.,27,33,15,13,12,A,PRIMAL-A
109,chocobaby,fire,avian,chocobaby; chocoburn; chocoblaze,0.6,This bird-like creature frequently flutters its tail feathers in rhythmic patterns while perched on branches near water sources.,14,32,12,14,28,B,AVIAN-A; FIRE-A
108,chocoblaze,fire,avian,chocobaby; chocoburn; chocoblaze,1.1,This bird-like creature spreads its arms wide in a display of territorial dominance during mating season.,14,27,12,12,35,S,AVIAN-A; FIRE-A
16,chocoburn,fire,avian,chocobaby; chocoburn; chocoblaze,0.9,This creature emits a low-frequency hum from its throat during territorial disputes.,13,32,12,13,30,A,AVIAN-A; FIRE-A
17,churu,primal,avian,"churu; hootspring, churu; twihoot",0.6,This owl uses its beak to probe leaf litter in search of small insects during dawn hours.,35,29,12,13,11,C,AVIAN-A; PRIMAL-C
175,cinderlamb,fire,ovine,,0.8,This creature emits soft chimes from its bell-shaped accessory while resting in a quiet enclosure.,12,38,11,12,27,B,FIRE-B; OVINE-A
18,cindrake,fire,dragon,,0.8,"This creature holds lanterns in both paws, illuminating its surroundings as it moves through dim environments.",11,35,12,11,31,B,DRAGON-A; FIRE-D
194,clamora,water,,,0.8,This octopus gently curls its tentacles around itself while resting in a calm underwater environment.,12,14,16,29,29,B,WATER-C
313,cloveshell,primal,carapace,,1,This creature uses its tail as a tool to probe the ground in search of hidden food sources.,30,31,14,14,11,B,CARAPACE-A; PRIMAL-C
195,coinnip,primal,,,0.8,"This fox carries a small pouch filled with coins, suggesting it stores resources for future travel or trade in its natural environment.",29,29,12,15,15,B,PRIMAL-A
196,conewalker,ice,,,0.6,This creature uses its antennae-like ears to detect subtle vibrations in the ground during nocturnal foraging.,14,14,26,33,13,B,ICE-C
197,corseal,water,,,0.8,This seal-like creature displays an unusual feeding behavior by consuming coral fragments during low tide periods in coastal marine zones.,13,16,11,34,26,B,WATER-B
19,corvoss,dark,dragon,,1.1,This dragon uses its tail as a tool to probe the ground in search of hidden prey beneath leaf litter.,15,32,11,12,30,A,DARK-B; DRAGON-A
272,cosmopuff,ice,,,0.7,This creature emits soft vibrations from its body during nocturnal exploration of rocky terrain.,13,16,33,24,14,A,ICE-C
198,crabawl,water,,,0.7,This crab tears up water droplets from its claws as it struggles to maintain balance in shallow tide pools.,12,15,12,30,31,B,WATER-B
316,cragmouth,fire; terra,,,1,"This creature emits glowing energy from its core during volcanic activity, signaling an impending eruption.",18,21,22,13,26,A,FIRE-C; TERRA-B
199,creamoo,primal,bovine,,1,This creature frequently uses its tail as a makeshift whisk while stirring ingredients in a cooking pot.,30,34,13,12,11,A,PRIMAL-C
201,crescyon,fae; flora,,,1.1,This creature emits soft green light from its antlers during twilight hours as part of a natural photoreception behavior.,16,12,30,30,12,A,FAE-A; FLORA-D
265,crestling,fire,,,0.7,"This creature gathers fallen seeds from the ground, likely using them as part of its diet during feeding behavior in open areas.",29,33,12,13,13,B,FIRE-A
202,crocclaw,water,,crooklet; crocclaw,1.2,This creature uses powerful jaws to crush hard-shelled prey in its natural habitat.,11,13,10,33,33,A,WATER-B
200,crooklet,water,,crooklet; crocclaw,0.8,This creature uses its tail as a tool to probe soft ground in search of small insects.,13,11,12,31,33,B,WATER-B
203,cryobee,ice,,cryobell; cryobee,1,"This insect-like creature emits faint blue light from its body as it navigates through icy terrain, possibly using bioluminescence for navigation.",11,17,27,33,12,A,ICE-C
22,cryobell,ice,,cryobell; cryobee,0.6,This creature emits small droplets from its antennae as part of a natural moisture regulation behavior during low humidity periods.,12,10,40,26,12,B,ICE-C
249,cryocub,ice,canine,cubbo; cryocub,0.9,This animal gathers ice cubes around its neck as part of a ritualized cooling behavior during seasonal temperature shifts.,14,12,27,33,14,A,CANINE-A; ICE-B
153,cubbo,primal,canine,"cubbo; joltcub, cubbo; cryocub, cubbo; gloomcub, cubbo; flarecub, cubbo; aquacub, cubbo; leafcub",0.7,This animal uses its padded paws to gently press against rocks while exploring nearby ledges in search of small insects.,32,32,11,13,12,B,CANINE-A; PRIMAL-D
205,cubesicle,ice,,,0.8,This creature emits soft chime-like sounds while sitting in icy terrain during winter months.,11,11,34,29,15,B,ICE-B
206,cuboulder,terra,ursine,"cuboulder; brutalon, cuboulder; grizzleroot",1,This animal carries a large stone on its back as part of its daily ritual to maintain balance during travel through rugged terrain.,29,12,31,12,16,B,TERRA-D; URSINE-A
123,dandypuff,flora,,,0.6,This plant-like creature emits soft vibrations from its central stalk while resting in open fields during dawn hours.,30,12,11,36,11,B,FLORA-B
24,dapperink,water,,,0.8,This animal uses its tail as a tool to gently prod at soft ground while scanning for hidden food sources in dense vegetation.,15,10,13,30,32,B,WATER-A
210,dinglet,terra,canine,dinglet; dingodash; dingodor,0.7,This animal emits soft light from its forehead whenever it detects movement in nearby vegetation.,35,13,28,10,14,B,CANINE-A; TERRA-A
211,dingodash,terra,canine,dinglet; dingodash; dingodor,0.9,This animal uses its sharp claws to dig into loose earth while scanning for hidden prey beneath leaf litter in dense forest understories.,26,11,37,11,15,A,CANINE-A; TERRA-A
212,dingodor,terra,canine,dinglet; dingodash; dingodor,1.1,"This animal sits in an alert posture, constantly scanning the surroundings as if anticipating movement from nearby prey.",25,15,29,16,15,S,CANINE-A; TERRA-A
33,doomhawn,dark,bovine,buffawn; doomhawn,1.1,This creature uses its powerful horns to intimidate prey by creating loud roaring sounds during territorial disputes.,16,25,12,11,36,A,DARK-C
126,doomveil,dark,,,1,This creature emits dark energy bursts from its claws during territorial disputes.,16,26,14,14,30,B,DARK-C
208,dreadmare,dark; water,dragon,glimpmare; dreadmare,1.1,"This creature emits a low-frequency hum from its throat during territorial displays, possibly signaling dominance in its aquatic environment.",16,18,14,19,33,A,DARK-A; DRAGON-A; WATER-A
157,driftquill,water,,driftquill; driftrella,0.6,This creature uses its tentacles to gently fan water currents around its burrow entrance during low tide.,11,13,14,27,35,C,WATER-D
158,driftrella,water,,driftquill; driftrella,0.8,This creature uses its tentacles to collect rainwater from surrounding surfaces as it navigates through damp environments.,12,12,14,25,37,A,WATER-D
133,drillvex,terra,avian,,1,This creature uses rapid wing flaps to generate lift during high-speed flight over rocky terrain.,31,17,28,12,12,A,AVIAN-A; TERRA-B
34,drowsloth,primal,,,0.7,This creature emits soft chirps while sitting in quiet observation of its surroundings.,30,30,12,13,15,A,PRIMAL-C
311,dubgrub,dark,,dubgrub; silker,0.6,This creature uses rapid tail movements as a form of communication during social interactions in its natural environment.,14,27,11,13,35,B,DARK-B
304,duckgaze,water,avian,,0.8,This bird frequently uses short bursts of flight to communicate territorial boundaries during mating season.,12,12,11,27,38,A,AVIAN-A; WATER-A
209,duskbloom,dark; flora,floral,,1,This black creature gathers daffodils in its den during spring's first bloom cycle.,17,23,13,27,20,A,DARK-C; FLORA-D; FLORAL-A
142,dustoad,terra; fire,,,0.7,This creature uses its tail as a tool to probe the ground in search of small insects.,27,13,35,12,13,B,TERRA-B; FIRE-D
35,eldrun,dark; terra,equine,,1,This creature uses leafy appendages as tools to sift through forest litter in search of hidden insects.,20,26,18,12,24,B,DARK-B; EQUINE-A; TERRA-B
36,emberine,fire,feline,,0.8,This creature emits faint blue energy from its tail whenever it approaches warm surfaces near water sources.,11,25,14,12,38,B,FELINE-A; FIRE-D
213,embermane,fire,equine,,1.1,This creature emits intense heat from its body during nocturnal feeding sessions in open savannas.,11,30,13,15,31,A,EQUINE-A; FIRE-B
130,emeraldillo,terra,carapace,,1,This creature uses its tail as a tool to dig in loose earth during nocturnal foraging sessions.,32,11,33,13,11,B,CARAPACE-A; TERRA-C
306,esperelle,fae,feline,,0.9,This creature emits soft vibrations from its paws during nighttime patrols in open areas.,14,15,31,28,12,A,FAE-B; FELINE-A
257,faunaflow,flora,,,1,This creature uses its long tail as a sensory tool to detect subtle vibrations in the ground during nocturnal foraging.,29,14,14,31,12,A,FLORA-A
125,fayefawn,fae,,,1,"This creature emits soft light from its horn during twilight hours, signaling territorial boundaries in open fields.",14,14,32,27,13,A,FAE-B
166,feyflutter,primal,,,0.7,This creature emits soft light from its body whenever it approaches a source of moisture in the canopy.,30,28,14,13,15,A,PRIMAL-A
287,finweave,water,,,0.7,This creature uses rapid tail flicks to create water currents that disperse small particles in its aquatic environment.,15,17,11,28,29,A,WATER-B
330,fiyena,fire,canine,,0.9,"This animal emits bursts of heat from its body during intense physical activity, likely as part of thermoregulation in hot environments.",14,32,13,16,25,A,CANINE-A; FIRE-B
5,flamebandit,fire,,bandit; flamebandit,0.8,This animal emits bright flames from its tail during social interactions in warm climates.,10,32,16,15,27,A,FIRE-C
293,flamefury,fire,,flamescout; flamefury,1.2,This dragon frequently emits heat pulses from its tail to warm nearby rocks during cold periods.,12,30,12,13,33,S,FIRE-A
292,flamescout,fire,,flamescout; flamefury,0.9,This creature emits bursts of energy from its tail during periods of high alertness.,13,32,15,13,27,A,FIRE-A
216,flarecub,fire,canine,cubbo; flarecub,0.9,This animal uses its tail's heat signature to detect nearby thermal anomalies in rocky terrain during nocturnal patrols.,16,33,13,13,25,A,CANINE-A; FIRE-A
75,fleecey,primal; fae,ovine,fleek; fleecey,0.9,This animal curls into a tight ball during cold weather to conserve body heat in its natural environment.,32,33,12,12,11,A,OVINE-A; PRIMAL-C; FAE-B
214,fleek,primal; fae,ovine,fleek; fleecey,0.6,"This young creature sits still, gently holding a pink ribbon that flows from its ears in a quiet display of calm observation.",22,39,13,11,15,B,OVINE-A; PRIMAL-C; FAE-B
120,flicker,fire,,,0.8,This creature emits smoke from its tail as a sign of territorial marking during mating season.,12,33,11,13,31,B,FIRE-C
305,floramene,flora,floral,budvex; floramene,0.9,This plant-like organism releases volatile compounds from its leaves during rainfall to attract pollinators.,30,14,13,32,11,S,FLORA-D; FLORAL-A
217,flotter,water,,,0.7,"This creature emits soft vibrations from its paws while sitting in shallow water, likely signaling readiness to move into deeper pools.",13,13,14,24,36,B,WATER-A
38,flufflare,fae,,bluffin; flufflare,0.8,This creature emits soft pink light from its forehead whenever it feels anxious or startled.,14,12,30,33,11,A,FAE-B
151,flutterbean,flora,,,0.7,This creature uses wing vibrations as a method of communication during mating rituals in forested areas.,35,14,12,29,10,B,FLORA-B
218,flutterburn,fire,,buzzlette; flutterburn,0.8,This insect uses rapid wing flapping as a defense mechanism against aerial predators in its forest canopy habitat.,11,26,13,14,36,A,FIRE-C
124,flutterking,primal,,buzzlette; flutterking,1,This bee-like creature collects honey from nectar sources in open meadows using specialized antennae to detect floral scents.,25,35,13,15,12,A,PRIMAL-A
219,forglin,volt,mech,forglin; forgron,0.7,This robot uses binoculars to scan distant terrain in search of mineral deposits.,11,14,12,26,37,B,MECH-A; VOLT-C
220,forgron,volt,mech,forglin; forgron,1,This robot uses a large mallet to tap into nearby structures in search of energy sources.,13,11,12,38,26,A,MECH-A; VOLT-C
221,freezok,ice,,,1.1,This creature emits a soft glow from its core whenever it detects nearby moisture in the ground.,12,15,34,28,11,A,ICE-B
222,frostail,ice; volt,feline,,0.8,This creature emits faint blue energy from its paws during routine environmental scans.,14,12,22,32,20,A,FELINE-A; ICE-A; VOLT-C
144,frostback,ice,,,0.8,This creature emits faint blue light from its shell whenever it moves across damp ground.,13,13,34,28,12,B,ICE-C
223,froznip,ice,,,0.5,"This creature emits soft chime-like sounds during social interactions, likely as part of communication in its icy environment.",17,12,34,26,11,B,ICE-A
39,fumudge,ice,,,0.5,This creature frequently uses its antennae to detect subtle chemical signals in the air during nocturnal foraging.,35,26,14,10,15,B,ICE-B
181,furrnut,primal,,,0.7,This squirrel uses its tail as a tool to balance while climbing trees during autumn foliage changes.,31,30,14,13,12,A,PRIMAL-A
40,galeclaw,fae,avian,,0.7,This bird perches atop vibrant feathers while observing small yellow insects in flight nearby.,32,30,11,13,14,A,AVIAN-A; FAE-A
41,galestorm,primal,avian,,0.9,This bird uses rapid wing flaps to generate upward momentum while ascending through dense canopy layers during dawn patrols.,28,31,11,13,17,A,AVIAN-A; PRIMAL-B
170,gearaffe,volt,mech,,1.2,This mechanical giraffe uses its long neck to reach high branches in search of nectar from rare flowers.,12,11,13,26,38,A,MECH-A; VOLT-A
332,gearwing,volt,mech; avian,,0.9,This robotic bird frequently uses its mechanical claws to probe surfaces in search of hidden energy sources.,12,13,17,26,32,A,AVIAN-A; MECH-A; VOLT-B
307,gillsby,water,,,0.6,This creature uses its tail fin as a propulsion tool while swimming through shallow waters.,18,11,11,24,36,B,WATER-D
43,glacilamb,ice; water,ovine,,0.9,This animal uses its large curved horns to protect itself from predators while resting in dense foliage.,16,11,21,30,22,B,ICE-B; OVINE-A; WATER-D
42,glazen,ice,ovine,glazimp; glazen,1,This creature uses its crystalline back as a thermal insulator while resting in high-altitude rock crevices during cold seasons.,14,12,27,33,14,A,ICE-B; OVINE-A
21,glazimp,ice,,glazimp; glazen,0.6,This creature emits soft chimes from its throat whenever it detects vibrations in icy terrain.,12,12,28,36,12,B,ICE-B
132,glazor,ice,,,0.8,This creature emits soft light pulses from its body during nighttime activity as part of its natural communication pattern.,14,14,28,30,14,B,ICE-B
165,glidaleaf,flora,,,0.6,This creature uses leafy appendages to absorb sunlight during daytime rest periods.,27,13,13,29,18,B,FLORA-C
207,glimpmare,dark; water,dragon,glimpmare; dreadmare,0.8,This creature uses its tail as a tool to probe soft ground in search of hidden insects.,13,22,14,25,26,B,DARK-A; DRAGON-A; WATER-A
4,glinthoof,fae,equine,,0.8,This creature uses its tail tip as a tool to probe soft ground for hidden roots during nocturnal foraging.,13,12,29,32,14,A,EQUINE-A; FAE-B
46,glitternut,fae; terra,,,0.6,This animal uses its tail as a tool to gather small stones from nearby surfaces while exploring new terrain.,19,13,37,19,12,A,FAE-B; TERRA-C
248,gloomcub,dark,canine,cubbo; gloomcub,0.9,This animal uses rapid tongue flicks to probe surfaces in search of hidden insects during twilight hours.,13,29,10,14,34,A,CANINE-A; DARK-B
259,gloopix,water; flora,,,0.8,This creature emits soft gurgling sounds while slowly dripping from its body as it moves through damp forest floors.,22,14,12,25,27,B,FLORA-C; WATER-C
48,golem,terra,,pebbolt; slatefist; golem,1.1,This creature burrows into rocky terrain to access underground water sources during dry seasons.,34,14,27,13,12,A,TERRA-C
300,goovern,water,,,1,This creature emits a faint blue mist from its mouth during feeding sessions in damp environments.,13,12,13,35,27,A,WATER-A
47,goumuffin,dark,,,0.8,"This creature emits light from two lanterns atop its head, suggesting it uses them as a form of communication during nocturnal activities.",15,23,15,16,31,B,DARK-A
241,grarro,primal,avian,grarro; grawk,0.5,This bird uses rapid wing flaps to generate upward momentum while ascending through dense canopy layers during dawn patrols.,34,29,11,14,12,B,AVIAN-A; PRIMAL-A
136,grawk,primal,avian,grarro; grawk,0.8,This bird dives into open fields at dawn to catch insects mid-flight during migration seasons.,30,32,15,12,11,A,AVIAN-A; PRIMAL-A
301,grimalkin,dark,feline,,0.8,This creature emits faint purple energy from its tail whenever it detects movement in nearby vegetation.,12,28,14,11,35,B,DARK-C; FELINE-A
275,grizzleroot,flora,ursine,cuboulder; grizzleroot,1.2,This creature uses its powerful claws to dig into earth in search of hidden roots and nutrients.,31,14,13,30,12,A,FLORA-C; URSINE-A
286,growtung,flora,,,0.7,"This creature emits a low-frequency hum from its throat during periods of high stress, possibly as part of an innate communication signal.",34,15,11,23,17,B,FLORA-C
179,grumblin,primal,,,0.6,This creature emits a low-frequency hum from its body whenever it detects vibrations in nearby water sources.,31,29,13,12,15,A,PRIMAL-B
266,hamhop,primal,,,0.7,"This creature sits upright in an unusual position, indicating it may be observing something from above while resting between two layers of food.",32,29,13,13,13,B,PRIMAL-C
335,hamspark,volt,,,0.6,This animal emits bright light from its body in response to environmental stimuli.,13,11,15,31,30,B,VOLT-C
295,harpyhawk,terra,avian,,0.9,This bird uses rapid wing flaps to generate upward momentum while ascending through dense canopy layers during dawn patrols.,30,13,29,14,14,B,AVIAN-A; TERRA-A
45,heartle,fae,,,0.8,This creature emits soft bioluminescent light from its tail tip during twilight hours.,14,12,25,34,15,B,FAE-A
224,hexor,dark; fire,,,0.8,This creature emits glowing orbs of energy from its hands as part of a ritualistic spellcasting practice.,11,34,13,12,30,B,DARK-A; FIRE-C
119,hikari,fire,,,1,This fox-like creature emits blue energy from its nine tails as it moves through snowy terrain.,15,36,11,14,24,A,FIRE-D
169,hootspring,primal,avian; mech,churu; hootspring,0.6,"This owl carries a clock around its neck, indicating it keeps time by observing daily cycles in nature.",28,29,15,12,16,B,AVIAN-A; MECH-A; PRIMAL-C
245,hydrette,water,,hydrette; hydromander,0.6,"This creature emits soft gurgling sounds while swimming in shallow waters, likely communicating through acoustic signals during mating season.",15,14,13,21,37,B,WATER-B
128,hydromander,water,,hydrette; hydromander,0.9,This creature releases streams of water from its tail whenever it detects moisture in the ground.,17,18,13,25,27,A,WATER-B
271,icedrake,ice,dragon,,1.1,This blue dragon frequently emits low-frequency vibrations through its scales while resting in mountainous regions.,13,15,29,30,13,S,DRAGON-A; ICE-A
324,ignis,fire,avian,,1,This bird emits bright golden light from its body as it performs an aerial display during dawn rituals.,13,26,13,12,36,A,AVIAN-A; FIRE-B
139,iguano,flora,,,0.6,This creature uses leafy appendages as camouflage while moving through dense foliage in its natural environment.,27,12,16,32,13,B,FLORA-B
116,inkweaver,dark,,,0.8,"This creature emits a low-frequency hum from its throat while standing in a shallow pool of dark fluid, suggesting it uses sound waves to communicate within its territory.",13,30,10,11,36,A,DARK-A
